,chA,chB,pA,pB,d,score
313,ADC,ADC,0.30000000000000004,0.9,fidelity,0.6471671580368575
314,ADC,ADC,0.30000000000000004,0.9,affinity,0.71444866554929
315,ADC,ADC,0.30000000000000004,0.9,wooters_distance,0.6113158099980199
316,ADC,ADC,0.30000000000000004,0.8,trace_distance,0.4433142944764968
317,ADC,ADC,0.30000000000000004,0.8,fidelity,0.6878228545809625
318,ADC,ADC,0.30000000000000004,0.8,affinity,0.7698677422574153
319,ADC,ADC,0.30000000000000004,0.8,wooters_distance,0.5723531739730373
320,ADC,ADC,0.30000000000000004,0.7000000000000001,trace_distance,0.39283075182559074
321,ADC,ADC,0.30000000000000004,0.7000000000000001,fidelity,0.7210403293714007
322,ADC,ADC,0.30000000000000004,0.7000000000000001,affinity,0.8097133302887146
323,ADC,ADC,0.30000000000000004,0.7000000000000001,wooters_distance,0.5408549616787311
324,ADC,ADC,0.30000000000000004,0.6000000000000001,trace_distance,0.3446407830138449
325,ADC,ADC,0.30000000000000004,0.6000000000000001,fidelity,0.7535138397755655
326,ADC,ADC,0.30000000000000004,0.6000000000000001,affinity,0.841368842006409
327,ADC,ADC,0.30000000000000004,0.6000000000000001,wooters_distance,0.5074374608649167
328,ADC,ADC,0.30000000000000004,0.5,trace_distance,0.2966650746875996
329,ADC,ADC,0.30000000000000004,0.5,fidelity,0.784123225524001
330,ADC,ADC,0.30000000000000004,0.5,affinity,0.8683432039087715
331,ADC,ADC,0.30000000000000004,0.5,wooters_distance,0.4746395534253259
332,ADC,ADC,0.30000000000000004,0.4,trace_distance,0.25362633292977205
333,ADC,ADC,0.30000000000000004,0.4,fidelity,0.8086995191685874
334,ADC,ADC,0.30000000000000004,0.4,affinity,0.8888834429417921
335,ADC,ADC,0.30000000000000004,0.4,wooters_distance,0.4475394132044744
336,ADC,ADC,0.30000000000000004,0.30000000000000004,trace_distance,0.2130592471471454
337,ADC,ADC,0.30000000000000004,0.30000000000000004,fidelity,0.8293364519283181
338,ADC,ADC,0.30000000000000004,0.30000000000000004,affinity,0.9051504819371242
339,ADC,ADC,0.30000000000000004,0.30000000000000004,wooters_distance,0.4233078446805227
340,ADC,ADC,0.30000000000000004,0.2,trace_distance,0.17099815391175846
